bus_id,x,y,v_nom,state,county,balancing_area,nerc_reg,reeds_ba,sub_id,load_mean_mw,load_peak_mw,n_lines,total_thermal_mva,max_line_mva,mean_line_length_km,solar_mean_cf,solar_p_nom_max_mw,wind_mean_cf,wind_p_nom_max_mw,renewable_cf_combined,renewable_potential_mw,lmp_mean,lmp_p95,lmp_std,lmp_spike_hrs,lmp_neg_hrs,renewable_sat,load_imbalance,congestion_score,lmp_score,composite,dominant_tech,lmp_p75,pct_protected,flood_risk,land_cost_k,land_cost_index,buildability
2020023,-123.219,39.1828,138.0,California,p06045,CISO-PGAE,WECC_CA,CISO,35840,19.138656575483576,33.4939,3.0,608.93,217.94,23.427280020557898,0.25321597,49.3506727277805,0.46135372,64.56189289498603,0.33647108,113.91256562276652,37.46935293026035,150.0,66.32668157069637,19,4,75.1,43.7,13.462474978728608,54.07349987929718,50.717194819017266,Wind+BESS,42.378233316633114,36,1,100,67.9,Limited
2020024,-123.219,39.1828,345.0,California,p06045,CISO-PGAE,WECC_CA,CISO,35840,0.0,0.0,3.0,2376.67,1234.05,95.81403048140453,0.25321597,49.3506727277805,0.46135372,64.56189289498603,0.33647108,113.91256562276652,112.08263955336992,265.8536025630849,99.59533949213476,19,4,75.1,0.0,100.0,76.46004992616443,61.577009832645,Wind+BESS,113.36164686995065,36,1,100,67.9,Limited
2020025,-123.244,39.195,138.0,California,p06045,CISO-PGAE,WECC_CA,CISO,35841,18.288451127389266,32.0059,3.0,569.77,217.94,21.40807789485456,0.24985713,51.59675740847365,0.4422258,185.432316646022,0.3268046,237.02907405449565,37.05486254988367,148.97536074019555,65.3642726292658,19,4,70.1,41.8,10.873802472023032,53.8874046951087,47.937241280838464,Wind+BESS,41.63742285020284,36,1,100,67.9,Limited
2020026,-123.289,40.5066,138.0,California,p06105,CISO-PGAE,WECC_CA,CISO,35842,4.6610525008584185,8.1571,2.0,462.95000000000005,233.08,59.17020076571371,0.24521893,63.82057693595077,0.20385021,800.292057885095,0.22867146,864.1126348210457,14.384020136765583,123.56972470790319,39.91953375099334,19,4,18.4,10.6,21.65528027241712,45.86781873558514,22.594619381983755,Congestion Relief,0.6170624702655432,82,1,40,86.2,Restricted
2020027,-123.143,38.7669,138.0,California,p06097,CISO-PGAE,WECC_CA,CISO,35843,14.037426324825455,24.5664,1.0,218.58,218.58,23.363327373427808,0.25022873,82.38080793966121,0.6194528,285.56424972214074,0.39791834,367.94505766180197,31.94640029481691,150.0,62.83691477840588,23,5,100.0,32.1,8.301117296971688,52.33487528481844,55.15219851635803,Congestion Relief,25.6451523686889,9,1,400,40.2,Clear
2020028,-122.992,41.6286,138.0,California,p06093,PACW,WECC_NWPP,PACW,35844,7.736261508526954,13.5389,1.0,179.53,179.53,100.03456121551463,0.24845535,175.3533739542961,0.1372258,200.3436583918425,0.20396353,375.6970323461386,31.25,150.0,62.22766754985801,19,4,5.4,17.7,0.005570099704784715,52.102214456471565,16.736556896930157,Congestion Relief,0.0,56,1,40,86.2,Restricted
2020029,-122.899,39.0165,138.0,California,p06033,CISO-PGAE,WECC_CA,CISO,35845,16.84129389950784,29.4733,3.0,558.71,215.17,21.494546006079037,0.2538795,220.03261138077863,0.4393069,76.77984873729986,0.32805046,296.8124601180785,32.61198473392404,150.0,65.22760260633889,19,4,70.7,38.5,13.462474978728608,52.70081090220413,47.602656108071315,Congestion Relief,29.63847702423007,24,1,70,75.0,Clear
2020030,-122.953,40.7654,138.0,California,p06105,BANC,WECC_CA,CISO,35846,6.699132791576057,11.7239,2.0,370.87,193.37,30.04919422576851,0.24421574,27.2032362471814,0.13990417,163.23761524800187,0.20249112,190.44085149518327,5.689914440723744,44.788073935753175,26.32491542462542,19,4,4.6,15.3,4.843394760350362,42.48776334838797,14.901231516843492,Congestion Relief,6.180782992629302,82,1,40,86.2,Restricted
2020031,-122.878,39.307,138.0,California,p06033,CISO-PGAE,WECC_CA,CISO,35847,8.278945805196292,14.4887,1.0,185.58,185.58,28.601048794632458,0.25179493,314.9146799950097,0.2919391,167.38857861717207,0.2678526,482.30325861218176,36.53900734750663,148.32379522523235,64.17968162701193,19,4,39.0,18.9,12.587265677059332,53.65684559189784,31.62382187232171,Congestion Relief,40.53201791069725,24,1,70,75.0,Clear
2020032,-122.828,39.0076,138.0,California,p06033,CISO-PGAE,WECC_CA,CISO,35848,0.0,0.0,3.0,356.43999999999994,183.7,8.344744806468627,0.25499547,23.44998689024633,0.4059666,9.649765351689005,0.3153839,33.099752241935334,31.98970855136322,150.0,65.19228826135611,19,4,64.0,0.0,100.0,52.53333086535717,52.90666579160171,Congestion Relief,28.62593541717272,24,1,70,75.0,Clear
